event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank,treated_epss_plus7,treated_percentile_plus7,control_epss_plus7,control_percentile_plus7,treated_percentile_delta_plus7,control_percentile_delta_plus7,att_percentile_delta_plus7,treated_epss_plus30,treated_percentile_plus30,control_epss_plus30,control_percentile_plus30,treated_percentile_delta_plus30,control_percentile_delta_plus30,att_percentile_delta_plus30
47,CVE-2018-10561,2025-01-29,CVE-2018-1207,2025-04-16,1,0.05,0.96379,0.99705,0.0,0.03398,0.91374,0.0,0.08331,1,0.96379,0.99707,0.03398,0.91404,2.000000000002e-05,0.0002999999999999,-0.0002799999999999,0.96379,0.9971,0.03131,0.91132,4.999999999999449e-05,-0.0024199999999999,0.0024699999999999
48,CVE-2018-10562,2025-01-29,CVE-2018-1207,2025-04-16,1,0.05,0.971,0.99884,0.0,0.03398,0.91374,0.0,0.0850999999999999,1,0.971,0.99885,0.03398,0.91404,1.0000000000065512e-05,0.0002999999999999,-0.0002899999999999,0.971,0.99887,0.03131,0.91132,3.0000000000085517e-05,-0.0024199999999999,0.00245
51,CVE-2018-13379,2025-01-15,CVE-2018-0171,2025-02-20,7,0.7000000000000011,0.96926,0.99832,0.0,0.74487,0.9836,0.0,0.0147199999999999,1,0.96924,0.99832,0.74487,0.98363,0.0,2.999999999997449e-05,-2.999999999997449e-05,0.96924,0.99835,0.74487,0.98382,2.999999999997449e-05,0.0002199999999999,-0.00019
51,CVE-2018-13379,2025-01-15,CVE-2018-1207,2025-04-16,8,0.7500000000000011,0.96926,0.99832,0.0,0.03398,0.91337,0.0,0.0849499999999999,2,0.96924,0.99832,0.03398,0.91351,0.0,0.00014,-0.00014,0.96924,0.99835,0.03398,0.91433,2.999999999997449e-05,0.0009599999999999,-0.0009299999999999
53,CVE-2018-16606,2025-04-16,CVE-2018-16790,2025-05-17,3,1.9,0.00452,0.62468,0.0,0.00508,0.64995,0.0,0.02527,1,0.05789,0.89963,0.00508,0.65028,0.27495,0.0003299999999999,0.2746200000000001,0.05789,0.89995,0.00672,0.7021,0.27527,0.0521499999999999,0.2231200000000001
53,CVE-2018-16606,2025-04-16,CVE-2018-4344,2025-05-24,2,1.6,0.00452,0.62468,0.0,0.00515,0.65292,0.0,0.0282399999999999,2,0.05789,0.89963,0.00515,0.65321,0.27495,0.00029,0.27466,0.05789,0.89995,0.00515,0.65474,0.27527,0.00182,0.2734499999999999
53,CVE-2018-16606,2025-04-16,CVE-2018-4413,2025-05-24,1,1.05,0.00452,0.62468,0.0,0.00556,0.66811,0.0,0.0434299999999999,3,0.05789,0.89963,0.00556,0.66826,0.27495,0.0001499999999999,0.2748,0.05789,0.89995,0.00556,0.66957,0.27527,0.00146,0.27381
55,CVE-2018-17532,2025-01-29,CVE-2018-3846,2025-04-11,5,1.3,0.01462,0.86614,0.0,0.01015,0.83747,0.0,0.0286699999999999,1,0.01462,0.86648,0.01015,0.8377,0.00034,0.0002299999999999,0.00011,0.01462,0.86785,0.01015,0.83921,0.0017099999999999,0.0017399999999999,-2.999999999997449e-05
55,CVE-2018-17532,2025-01-29,CVE-2018-3847,2025-04-11,6,1.3,0.01462,0.86614,0.0,0.00833,0.81992,0.0,0.04622,2,0.01462,0.86648,0.00833,0.82026,0.00034,0.00034,0.0,0.01462,0.86785,0.00833,0.82144,0.0017099999999999,0.0015199999999999,0.00019
55,CVE-2018-17532,2025-01-29,CVE-2018-1207,2025-04-16,1,0.05,0.01462,0.86614,0.0,0.03398,0.91374,0.0,0.0475999999999999,3,0.01462,0.86648,0.03398,0.91404,0.00034,0.0002999999999999,4.000000000004e-05,0.01462,0.86785,0.03131,0.91132,0.0017099999999999,-0.0024199999999999,0.0041299999999999
56,CVE-2018-19410,2025-02-05,CVE-2018-1207,2025-04-16,1,0.05,0.04906,0.92777,0.0,0.03398,0.91404,0.0,0.01373,1,0.04906,0.92773,0.03398,0.91408,-3.999999999992898e-05,4.000000000004e-05,-7.999999999996898e-05,0.04906,0.92858,0.03131,0.91164,0.0008099999999999,-0.0023999999999999,0.0032099999999999
56,CVE-2018-19410,2025-02-05,CVE-2018-3846,2025-04-11,5,1.3,0.04906,0.92777,0.0,0.01015,0.8377,0.0,0.0900699999999999,2,0.04906,0.92773,0.01015,0.83799,-3.999999999992898e-05,0.00029,-0.0003299999999999,0.04906,0.92858,0.01015,0.83955,0.0008099999999999,0.00185,-0.00104
57,CVE-2018-20817,2024-03-18,CVE-2018-1285,2025-04-22,12,0.05,0.0099,0.83166,0.0,0.00819,0.81439,0.0,0.01727,1,0.0099,0.83185,0.00819,0.8146,0.00019,0.00021,-2.000000000002e-05,0.0099,0.83328,0.00897,0.82455,0.00162,0.01016,-0.0085399999999999
57,CVE-2018-20817,2024-03-18,CVE-2018-1207,2025-04-16,11,0.05,0.0099,0.83166,0.0,0.01875,0.88115,0.0,0.04949,2,0.0099,0.83185,0.01875,0.88138,0.00019,0.00023,-4.000000000004e-05,0.0099,0.83328,0.01875,0.88251,0.00162,0.00136,0.00026
57,CVE-2018-20817,2024-03-18,CVE-2018-17532,2025-01-29,8,0.05,0.0099,0.83166,0.0,0.00572,0.77416,0.0,0.0574999999999999,3,0.0099,0.83185,0.00572,0.77446,0.00019,0.0003,-0.00011,0.0099,0.83328,0.00572,0.77642,0.00162,0.00226,-0.0006399999999999
58,CVE-2018-3646,2025-04-11,CVE-2018-0898,2025-05-16,2,0.9499999999999996,0.05906,0.8972,0.0,0.01901,0.81739,0.0,0.07981,1,0.05906,0.90065,0.01901,0.82216,0.0034499999999999,0.00477,-0.00132,0.05906,0.90077,0.01901,0.82246,0.0035699999999999,0.00507,-0.0015
58,CVE-2018-3646,2025-04-11,CVE-2018-0899,2025-05-16,3,0.9499999999999996,0.05906,0.8972,0.0,0.01901,0.81739,0.0,0.07981,2,0.05906,0.90065,0.01901,0.82216,0.0034499999999999,0.00477,-0.00132,0.05906,0.90077,0.01901,0.82246,0.0035699999999999,0.00507,-0.0015
58,CVE-2018-3646,2025-04-11,CVE-2018-0900,2025-05-16,4,0.9499999999999996,0.05906,0.8972,0.0,0.01901,0.81739,0.0,0.07981,3,0.05906,0.90065,0.01901,0.82216,0.0034499999999999,0.00477,-0.00132,0.05906,0.90077,0.01901,0.82246,0.0035699999999999,0.00507,-0.0015
59,CVE-2018-3846,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.02446,0.83867,0.0,0.01901,0.81739,0.0,0.02128,1,0.02446,0.84272,0.01901,0.82216,0.0040499999999999,0.00477,-0.00072,0.01518,0.80227,0.01901,0.82246,-0.0363999999999999,0.00507,-0.04147
59,CVE-2018-3846,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.02446,0.83867,0.0,0.01901,0.81739,0.0,0.02128,2,0.02446,0.84272,0.01901,0.82216,0.0040499999999999,0.00477,-0.00072,0.01518,0.80227,0.01901,0.82246,-0.0363999999999999,0.00507,-0.04147
