event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank
212,CVE-2022-22536,2025-04-02,CVE-2022-41352,2025-05-13,4,0.24999999999999928,0.93844,0.99863,0.0,0.78354,0.98972,0.0,0.008909999999999973,3
214,CVE-2022-2274,2025-04-09,CVE-2022-41352,2025-05-13,2,0.0,0.5801,0.98006,0.0,0.80482,0.99083,0.0,0.010769999999999946,1
214,CVE-2022-2274,2025-04-09,CVE-2022-30190,2025-05-13,11,2.250000000000001,0.5801,0.98006,0.0,0.92964,0.99774,0.0,0.017679999999999918,2
214,CVE-2022-2274,2025-04-09,CVE-2022-1388,2025-05-13,1,0.0,0.5801,0.98006,0.0,0.94456,0.99993,0.0,0.019869999999999943,3
215,CVE-2022-22963,2023-07-11,CVE-2022-35914,2024-05-19,4,0.0,0.97507,0.99967,0.0,0.97399,0.99866,0.0,0.0010099999999999554,1
215,CVE-2022-22963,2023-07-11,CVE-2022-37061,2025-04-16,5,0.0,0.97507,0.99967,0.0,0.97383,0.9985,0.0,0.0011699999999998933,2
215,CVE-2022-22963,2023-07-11,CVE-2022-42889,2025-04-18,6,0.0,0.97507,0.99967,0.0,0.84011,0.97994,0.0,0.019729999999999914,3
216,CVE-2022-23053,2025-04-11,CVE-2022-34707,2025-05-16,7,1.9500000000000002,0.00228,0.42836,0.0,0.0017,0.35085,0.0,0.07751000000000002,1
216,CVE-2022-23053,2025-04-11,CVE-2022-27779,2025-05-13,2,0.7999999999999998,0.00228,0.42836,0.0,0.00166,0.34537,0.0,0.08299000000000001,2
216,CVE-2022-23053,2025-04-11,CVE-2022-35768,2025-05-16,8,1.9500000000000002,0.00228,0.42836,0.0,0.00165,0.34398,0.0,0.08438000000000001,3
217,CVE-2022-23054,2025-04-11,CVE-2022-34707,2025-05-16,7,1.9500000000000002,0.00228,0.42836,0.0,0.0017,0.35085,0.0,0.07751000000000002,1
217,CVE-2022-23054,2025-04-11,CVE-2022-27779,2025-05-13,2,0.7999999999999998,0.00228,0.42836,0.0,0.00166,0.34537,0.0,0.08299000000000001,2
217,CVE-2022-23054,2025-04-11,CVE-2022-35768,2025-05-16,8,1.9500000000000002,0.00228,0.42836,0.0,0.00165,0.34398,0.0,0.08438000000000001,3
219,CVE-2022-23513,2023-09-04,CVE-2022-40258,2025-03-18,1,0.05,0.00046,0.13996,0.0,0.00046,0.13996,0.0,0.0,1
219,CVE-2022-23513,2023-09-04,CVE-2022-4407,2025-04-16,10,0.7999999999999998,0.00046,0.13996,0.0,0.00046,0.13996,0.0,0.0,2
