event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance
190,CVE-2021-42291,2023-01-16,CVE-2021-20288,2025-04-09,4,0.3499999999999998
190,CVE-2021-42291,2023-01-16,CVE-2021-28976,2025-04-11,5,0.3499999999999998
190,CVE-2021-42291,2023-01-16,CVE-2021-40449,2025-04-18,6,0.3499999999999998
190,CVE-2021-42291,2023-01-16,CVE-2021-30860,2025-04-27,7,0.3499999999999998
190,CVE-2021-42291,2023-01-16,CVE-2021-26857,2025-05-02,8,0.3499999999999998
190,CVE-2021-42291,2023-01-16,CVE-2021-26858,2025-05-02,9,0.3499999999999998
190,CVE-2021-42291,2023-01-16,CVE-2021-27065,2025-05-02,10,0.3499999999999998
190,CVE-2021-42291,2023-01-16,CVE-2021-4034,2025-05-13,11,0.3499999999999998
190,CVE-2021-42291,2023-01-16,CVE-2021-32589,2024-12-19,12,0.6499999999999997
230,CVE-2022-26931,2023-01-16,CVE-2022-21449,2025-05-05,1,0.0
230,CVE-2022-26931,2023-01-16,CVE-2022-47879,2023-05-05,2,0.05
230,CVE-2022-26931,2023-01-16,CVE-2022-2591,2023-05-13,3,0.05
230,CVE-2022-26931,2023-01-16,CVE-2022-47076,2023-06-22,4,0.05
230,CVE-2022-26931,2023-01-16,CVE-2022-28171,2023-07-19,5,0.05
230,CVE-2022-26931,2023-01-16,CVE-2022-2827,2025-03-18,6,0.05
230,CVE-2022-26931,2023-01-16,CVE-2022-40242,2025-03-18,7,0.05
230,CVE-2022-26931,2023-01-16,CVE-2022-29154,2025-01-16,8,0.09999999999999964
230,CVE-2022-26931,2023-01-16,CVE-2022-35919,2023-10-09,9,0.14999999999999963
230,CVE-2022-26931,2023-01-16,CVE-2022-46908,2025-05-14,10,0.25000000000000017
230,CVE-2022-26931,2023-01-16,CVE-2022-0847,2025-04-30,11,0.2999999999999998
230,CVE-2022-26931,2023-01-16,CVE-2022-46721,2025-05-19,12,0.2999999999999998
258,CVE-2022-37967,2023-01-16,CVE-2022-46908,2025-05-14,1,0.14999999999999963
258,CVE-2022-37967,2023-01-16,CVE-2022-29154,2025-01-16,2,0.20000000000000018
258,CVE-2022-37967,2023-01-16,CVE-2022-35919,2023-10-09,3,0.25000000000000017
258,CVE-2022-37967,2023-01-16,CVE-2022-21449,2025-05-05,4,0.2999999999999998
258,CVE-2022-37967,2023-01-16,CVE-2022-47879,2023-05-05,5,0.3499999999999998
258,CVE-2022-37967,2023-01-16,CVE-2022-2591,2023-05-13,6,0.3499999999999998
258,CVE-2022-37967,2023-01-16,CVE-2022-47076,2023-06-22,7,0.3499999999999998
258,CVE-2022-37967,2023-01-16,CVE-2022-28171,2023-07-19,8,0.3499999999999998
258,CVE-2022-37967,2023-01-16,CVE-2022-2827,2025-03-18,9,0.3499999999999998
258,CVE-2022-37967,2023-01-16,CVE-2022-40242,2025-03-18,10,0.3499999999999998
258,CVE-2022-37967,2023-01-16,CVE-2022-0847,2025-04-30,11,0.5999999999999996
258,CVE-2022-37967,2023-01-16,CVE-2022-46721,2025-05-19,12,0.5999999999999996
145,CVE-2020-5741,2023-03-03,CVE-2020-5509,2025-04-16,1,0.05
145,CVE-2020-5741,2023-03-03,CVE-2020-11060,2023-10-09,2,0.25000000000000017
145,CVE-2020-5741,2023-03-03,CVE-2020-0238,2024-12-04,3,0.25000000000000017
145,CVE-2020-5741,2023-03-03,CVE-2020-11971,2025-04-11,4,0.2999999999999998
145,CVE-2020-5741,2023-03-03,CVE-2020-3259,2025-04-17,5,0.3499999999999998
145,CVE-2020-5741,2023-03-03,CVE-2020-1378,2025-05-16,6,0.3499999999999998
145,CVE-2020-5741,2023-03-03,CVE-2020-14979,2025-03-11,7,0.5999999999999996
145,CVE-2020-5741,2023-03-03,CVE-2020-11560,2023-06-23,8,0.6499999999999997
145,CVE-2020-5741,2023-03-03,CVE-2020-27786,2024-09-09,9,0.6499999999999997
145,CVE-2020-5741,2023-03-03,CVE-2020-0787,2025-05-13,10,0.6499999999999997
145,CVE-2020-5741,2023-03-03,CVE-2020-1377,2025-05-16,11,0.6499999999999997
145,CVE-2020-5741,2023-03-03,CVE-2020-9859,2025-05-24,12,0.6499999999999997
347,CVE-2023-23397,2023-03-15,CVE-2023-24941,2023-05-14,1,0.0
347,CVE-2023-23397,2023-03-15,CVE-2023-27217,2023-05-17,2,0.0
347,CVE-2023-23397,2023-03-15,CVE-2023-49641,2025-05-19,3,0.0
347,CVE-2023-23397,2023-03-15,CVE-2023-36845,2025-05-29,4,0.0
347,CVE-2023-23397,2023-03-15,CVE-2023-41591,2025-05-30,5,0.0
347,CVE-2023-23397,2023-03-15,CVE-2023-30330,2023-05-02,6,0.05
347,CVE-2023-23397,2023-03-15,CVE-2023-29809,2023-05-05,7,0.05
347,CVE-2023-23397,2023-03-15,CVE-2023-1934,2023-05-23,8,0.05
347,CVE-2023-23397,2023-03-15,CVE-2023-27350,2023-05-23,9,0.05
347,CVE-2023-23397,2023-03-15,CVE-2023-27823,2023-05-23,10,0.05
347,CVE-2023-23397,2023-03-15,CVE-2023-34581,2023-05-24,11,0.05
347,CVE-2023-23397,2023-03-15,CVE-2023-30145,2023-05-26,12,0.05
363,CVE-2023-25438,2023-05-02,CVE-2023-28293,2023-06-26,1,0.0
363,CVE-2023-25438,2023-05-02,CVE-2023-28285,2023-07-03,2,0.0
363,CVE-2023-25438,2023-05-02,CVE-2023-33137,2023-07-03,3,0.0
363,CVE-2023-25438,2023-05-02,CVE-2023-33148,2023-07-20,4,0.0
363,CVE-2023-25438,2023-05-02,CVE-2023-34634,2023-07-28,5,0.0
363,CVE-2023-25438,2023-05-02,CVE-2023-39147,2023-07-31,6,0.0
363,CVE-2023-25438,2023-05-02,CVE-2023-31468,2023-08-21,7,0.0
363,CVE-2023-25438,2023-05-02,CVE-2023-46022,2024-03-20,8,0.0
363,CVE-2023-25438,2023-05-02,CVE-2023-29336,2025-05-25,9,0.0
363,CVE-2023-25438,2023-05-02,CVE-2023-2640,2023-07-31,10,0.05
363,CVE-2023-25438,2023-05-02,CVE-2023-32629,2023-07-31,11,0.05
363,CVE-2023-25438,2023-05-02,CVE-2023-41061,2025-02-10,12,0.05
407,CVE-2023-30350,2023-05-02,CVE-2023-24078,2023-07-03,1,0.0
407,CVE-2023-30350,2023-05-02,CVE-2023-36348,2023-07-03,2,0.0
407,CVE-2023-30350,2023-05-02,CVE-2023-33131,2023-07-07,3,0.0
407,CVE-2023-30350,2023-05-02,CVE-2023-27253,2023-07-20,4,0.0
407,CVE-2023-30350,2023-05-02,CVE-2023-2636,2023-07-28,5,0.0
407,CVE-2023-30350,2023-05-02,CVE-2023-37569,2023-08-08,6,0.0
407,CVE-2023-30350,2023-05-02,CVE-2023-1389,2023-08-10,7,0.0
407,CVE-2023-30350,2023-05-02,CVE-2023-32707,2023-10-09,8,0.0
407,CVE-2023-30350,2023-05-02,CVE-2023-38836,2023-10-09,9,0.0
407,CVE-2023-30350,2023-05-02,CVE-2023-33996,2024-12-13,10,0.05
407,CVE-2023-30350,2023-05-02,CVE-2023-47179,2025-01-02,11,0.05
407,CVE-2023-30350,2023-05-02,CVE-2023-37931,2025-01-14,12,0.05
406,CVE-2023-30330,2023-05-02,CVE-2023-2068,2023-06-04,1,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-33584,2023-06-04,2,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-0297,2023-06-14,3,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-27372,2023-06-20,4,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-33592,2023-07-06,5,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-37629,2023-07-19,6,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-34635,2023-07-20,7,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-39115,2023-08-04,8,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-29689,2023-08-08,9,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-31067,2023-08-21,10,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-31068,2023-08-21,11,0.0
406,CVE-2023-30330,2023-05-02,CVE-2023-31069,2023-08-21,12,0.0
401,CVE-2023-29983,2023-05-02,CVE-2023-23956,2023-06-19,1,0.0
401,CVE-2023-29983,2023-05-02,CVE-2023-29918,2023-07-28,2,0.0
401,CVE-2023-29983,2023-05-02,CVE-2023-6710,2024-05-13,3,0.0
