event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank,treated_epss_plus7,treated_percentile_plus7,control_epss_plus7,control_percentile_plus7,treated_percentile_delta_plus7,control_percentile_delta_plus7,att_percentile_delta_plus7,treated_epss_plus30,treated_percentile_plus30,control_epss_plus30,control_percentile_plus30,treated_percentile_delta_plus30,control_percentile_delta_plus30,att_percentile_delta_plus30
45,CVE-2018-1000048,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,1,0.00968,0.75365,0.01901,0.82216,0.006810000000000094,0.004770000000000052,0.0020400000000000418,0.00968,0.75383,0.01901,0.82246,0.006990000000000052,0.005070000000000019,0.0019200000000000328
45,CVE-2018-1000048,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,2,0.00968,0.75365,0.01901,0.82216,0.006810000000000094,0.004770000000000052,0.0020400000000000418,0.00968,0.75383,0.01901,0.82246,0.006990000000000052,0.005070000000000019,0.0019200000000000328
45,CVE-2018-1000048,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,3,0.00968,0.75365,0.01901,0.82216,0.006810000000000094,0.004770000000000052,0.0020400000000000418,0.00968,0.75383,0.01901,0.82246,0.006990000000000052,0.005070000000000019,0.0019200000000000328
47,CVE-2018-10561,2025-01-29,CVE-2018-1207,2025-04-16,1,0.05,0.96379,0.99705,0.0,0.03398,0.91374,0.0,0.08331,1,0.96379,0.99707,0.03398,0.91404,2.0000000000020002e-05,0.00029999999999996696,-0.00027999999999994696,0.96379,0.9971,0.03131,0.91132,4.999999999999449e-05,-0.0024199999999999777,0.0024699999999999722
48,CVE-2018-10562,2025-01-29,CVE-2018-1207,2025-04-16,1,0.05,0.971,0.99884,0.0,0.03398,0.91374,0.0,0.08509999999999995,1,0.971,0.99885,0.03398,0.91404,1.0000000000065512e-05,0.00029999999999996696,-0.00028999999999990145,0.971,0.99887,0.03131,0.91132,3.0000000000085514e-05,-0.0024199999999999777,0.0024500000000000632
51,CVE-2018-13379,2025-01-15,CVE-2018-0171,2025-02-20,7,0.7000000000000011,0.96926,0.99832,0.0,0.74487,0.9836,0.0,0.014719999999999955,1,0.96924,0.99832,0.74487,0.98363,0.0,2.999999999997449e-05,-2.999999999997449e-05,0.96924,0.99835,0.74487,0.98382,2.999999999997449e-05,0.00021999999999999797,-0.00019000000000002348
51,CVE-2018-13379,2025-01-15,CVE-2018-1207,2025-04-16,8,0.7500000000000011,0.96926,0.99832,0.0,0.03398,0.91337,0.0,0.08494999999999997,2,0.96924,0.99832,0.03398,0.91351,0.0,0.000140000000000029,-0.000140000000000029,0.96924,0.99835,0.03398,0.91433,2.999999999997449e-05,0.0009599999999999609,-0.0009299999999999864
53,CVE-2018-16606,2025-04-16,CVE-2018-16790,2025-05-17,3,1.8999999999999997,0.00452,0.62468,0.0,0.00508,0.64995,0.0,0.025270000000000015,1,0.05789,0.89963,0.00508,0.65028,0.27495,0.00032999999999994145,0.2746200000000001,0.05789,0.89995,0.00672,0.7021,0.27527,0.05214999999999992,0.2231200000000001
53,CVE-2018-16606,2025-04-16,CVE-2018-4344,2025-05-24,2,1.5999999999999999,0.00452,0.62468,0.0,0.00515,0.65292,0.0,0.028239999999999932,2,0.05789,0.89963,0.00515,0.65321,0.27495,0.00029000000000001247,0.27466,0.05789,0.89995,0.00515,0.65474,0.27527,0.0018200000000000438,0.27344999999999997
53,CVE-2018-16606,2025-04-16,CVE-2018-4413,2025-05-24,1,1.05,0.00452,0.62468,0.0,0.00556,0.66811,0.0,0.04342999999999997,3,0.05789,0.89963,0.00556,0.66826,0.27495,0.00014999999999998348,0.27480000000000004,0.05789,0.89995,0.00556,0.66957,0.27527,0.0014600000000000168,0.27381
55,CVE-2018-17532,2025-01-29,CVE-2018-3846,2025-04-11,5,1.3,0.01462,0.86614,0.0,0.01015,0.83747,0.0,0.028669999999999973,1,0.01462,0.86648,0.01015,0.8377,0.00034000000000000696,0.00022999999999995246,0.0001100000000000545,0.01462,0.86785,0.01015,0.83921,0.0017099999999999893,0.0017399999999999638,-2.999999999997449e-05
55,CVE-2018-17532,2025-01-29,CVE-2018-3847,2025-04-11,6,1.3,0.01462,0.86614,0.0,0.00833,0.81992,0.0,0.04622000000000004,2,0.01462,0.86648,0.00833,0.82026,0.00034000000000000696,0.00034000000000000696,0.0,0.01462,0.86785,0.00833,0.82144,0.0017099999999999893,0.0015199999999999658,0.00019000000000002348
55,CVE-2018-17532,2025-01-29,CVE-2018-1207,2025-04-16,1,0.05,0.01462,0.86614,0.0,0.03398,0.91374,0.0,0.047599999999999976,3,0.01462,0.86648,0.03398,0.91404,0.00034000000000000696,0.00029999999999996696,4.0000000000040004e-05,0.01462,0.86785,0.03131,0.91132,0.0017099999999999893,-0.0024199999999999777,0.004129999999999967
56,CVE-2018-19410,2025-02-05,CVE-2018-1207,2025-04-16,1,0.05,0.04906,0.92777,0.0,0.03398,0.91404,0.0,0.01373000000000002,1,0.04906,0.92773,0.03398,0.91408,-3.999999999992898e-05,4.0000000000040004e-05,-7.999999999996898e-05,0.04906,0.92858,0.03131,0.91164,0.0008099999999999774,-0.0023999999999999577,0.003209999999999935
56,CVE-2018-19410,2025-02-05,CVE-2018-3846,2025-04-11,5,1.3,0.04906,0.92777,0.0,0.01015,0.8377,0.0,0.09006999999999998,2,0.04906,0.92773,0.01015,0.83799,-3.999999999992898e-05,0.00029000000000001247,-0.00032999999999994145,0.04906,0.92858,0.01015,0.83955,0.0008099999999999774,0.0018500000000000183,-0.001040000000000041
57,CVE-2018-20817,2024-03-18,CVE-2018-1285,2025-04-22,12,0.05,0.0099,0.83166,0.0,0.00819,0.81439,0.0,0.017270000000000008,1,0.0099,0.83185,0.00819,0.8146,0.00019000000000002348,0.00021000000000004349,-2.0000000000020002e-05,0.0099,0.83328,0.00897,0.82455,0.0016200000000000658,0.010160000000000058,-0.008539999999999992
57,CVE-2018-20817,2024-03-18,CVE-2018-1207,2025-04-16,11,0.05,0.0099,0.83166,0.0,0.01875,0.88115,0.0,0.049490000000000034,2,0.0099,0.83185,0.01875,0.88138,0.00019000000000002348,0.0002300000000000635,-4.0000000000040004e-05,0.0099,0.83328,0.01875,0.88251,0.0016200000000000658,0.0013600000000000279,0.000260000000000038
57,CVE-2018-20817,2024-03-18,CVE-2018-17532,2025-01-29,8,0.05,0.0099,0.83166,0.0,0.00572,0.77416,0.0,0.057499999999999996,3,0.0099,0.83185,0.00572,0.77446,0.00019000000000002348,0.000300000000000078,-0.0001100000000000545,0.0099,0.83328,0.00572,0.77642,0.0016200000000000658,0.0022600000000000398,-0.0006399999999999739
58,CVE-2018-3646,2025-04-11,CVE-2018-0898,2025-05-16,2,0.9499999999999995,0.05906,0.8972,0.0,0.01901,0.81739,0.0,0.07981000000000005,1,0.05906,0.90065,0.01901,0.82216,0.003449999999999953,0.004770000000000052,-0.0013200000000000989,0.05906,0.90077,0.01901,0.82246,0.003569999999999962,0.005070000000000019,-0.0015000000000000568
58,CVE-2018-3646,2025-04-11,CVE-2018-0899,2025-05-16,3,0.9499999999999995,0.05906,0.8972,0.0,0.01901,0.81739,0.0,0.07981000000000005,2,0.05906,0.90065,0.01901,0.82216,0.003449999999999953,0.004770000000000052,-0.0013200000000000989,0.05906,0.90077,0.01901,0.82246,0.003569999999999962,0.005070000000000019,-0.0015000000000000568
58,CVE-2018-3646,2025-04-11,CVE-2018-0900,2025-05-16,4,0.9499999999999995,0.05906,0.8972,0.0,0.01901,0.81739,0.0,0.07981000000000005,3,0.05906,0.90065,0.01901,0.82216,0.003449999999999953,0.004770000000000052,-0.0013200000000000989,0.05906,0.90077,0.01901,0.82246,0.003569999999999962,0.005070000000000019,-0.0015000000000000568
59,CVE-2018-3846,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.02446,0.83867,0.0,0.01901,0.81739,0.0,0.021280000000000077,1,0.02446,0.84272,0.01901,0.82216,0.004049999999999998,0.004770000000000052,-0.0007200000000000539,0.01518,0.80227,0.01901,0.82246,-0.03639999999999999,0.005070000000000019,-0.04147000000000001
59,CVE-2018-3846,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.02446,0.83867,0.0,0.01901,0.81739,0.0,0.021280000000000077,2,0.02446,0.84272,0.01901,0.82216,0.004049999999999998,0.004770000000000052,-0.0007200000000000539,0.01518,0.80227,0.01901,0.82246,-0.03639999999999999,0.005070000000000019,-0.04147000000000001
59,CVE-2018-3846,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.02446,0.83867,0.0,0.01901,0.81739,0.0,0.021280000000000077,3,0.02446,0.84272,0.01901,0.82216,0.004049999999999998,0.004770000000000052,-0.0007200000000000539,0.01518,0.80227,0.01901,0.82246,-0.03639999999999999,0.005070000000000019,-0.04147000000000001
60,CVE-2018-3847,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.01759,0.8104,0.0,0.01901,0.81739,0.0,0.006989999999999941,1,0.0071,0.70974,0.01901,0.82216,-0.10065999999999997,0.004770000000000052,-0.10543000000000002,0.00504,0.64905,0.01901,0.82246,-0.16135,0.005070000000000019,-0.16642
60,CVE-2018-3847,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.01759,0.8104,0.0,0.01901,0.81739,0.0,0.006989999999999941,2,0.0071,0.70974,0.01901,0.82216,-0.10065999999999997,0.004770000000000052,-0.10543000000000002,0.00504,0.64905,0.01901,0.82246,-0.16135,0.005070000000000019,-0.16642
60,CVE-2018-3847,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.01759,0.8104,0.0,0.01901,0.81739,0.0,0.006989999999999941,3,0.0071,0.70974,0.01901,0.82216,-0.10065999999999997,0.004770000000000052,-0.10543000000000002,0.00504,0.64905,0.01901,0.82246,-0.16135,0.005070000000000019,-0.16642
61,CVE-2018-3848,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.014430000000000054,1,0.02242,0.83617,0.01901,0.82216,0.004349999999999965,0.004770000000000052,-0.00042000000000008697,0.01381,0.79244,0.01901,0.82246,-0.03937999999999997,0.005070000000000019,-0.04444999999999999
61,CVE-2018-3848,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.014430000000000054,2,0.02242,0.83617,0.01901,0.82216,0.004349999999999965,0.004770000000000052,-0.00042000000000008697,0.01381,0.79244,0.01901,0.82246,-0.03937999999999997,0.005070000000000019,-0.04444999999999999
61,CVE-2018-3848,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.014430000000000054,3,0.02242,0.83617,0.01901,0.82216,0.004349999999999965,0.004770000000000052,-0.00042000000000008697,0.01381,0.79244,0.01901,0.82246,-0.03937999999999997,0.005070000000000019,-0.04444999999999999
62,CVE-2018-3849,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.014430000000000054,1,0.02242,0.83617,0.01901,0.82216,0.004349999999999965,0.004770000000000052,-0.00042000000000008697,0.01381,0.79244,0.01901,0.82246,-0.03937999999999997,0.005070000000000019,-0.04444999999999999
62,CVE-2018-3849,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.014430000000000054,2,0.02242,0.83617,0.01901,0.82216,0.004349999999999965,0.004770000000000052,-0.00042000000000008697,0.01381,0.79244,0.01901,0.82246,-0.03937999999999997,0.005070000000000019,-0.04444999999999999
62,CVE-2018-3849,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.014430000000000054,3,0.02242,0.83617,0.01901,0.82216,0.004349999999999965,0.004770000000000052,-0.00042000000000008697,0.01381,0.79244,0.01901,0.82246,-0.03937999999999997,0.005070000000000019,-0.04444999999999999
